,smiles,targets
84,Cc1ccccc1CN(c1ccc(C#N)c(Cl)c1)[C@H]1CCN(CCCO)C1,0.0
85,COC(c1cnn(-c2cccc(-c3cccc(C(N4C5CCC4COC5)=O)c3F)c2)c1C1CC1)=O,0.0
86,C1Cc2c(c(N)c3c(c2Cl)CCC3)C1,1.0
87,Cn1cnc(-c2ccccc2)c1C(=Nc1c(N)nc[nH]c1=N)O,0.0
88,CC(C)(Cc1ccc([N+]([O-])=O)cc1C(F)(F)F)C(=O)O,0.0
89,COC(CCCCC#C/C=C/C=C/CCC#C[Si](C)(C)C)=O,1.0
90,C(CCCc1cnc[nH]1)CCc1ccccc1,1.0
91,c1cc2cncc(Cl)c2c(S(Cl)(=O)=O)c1,0.0
92,CN1CC2Cc3ccc(Cl)cc3C(O)C2C1,1.0
93,c1ccc(N(CCO)C(Cn2cnc3c(C(=NO)O)cccc32)=O)cc1,0.0
94,c1ccc2c(c1)C1COc3cc(O)ccc3C1O2,0.0
95,Cc1nc(N2CCC(c3ccc(F)cc3)CC2)c([N+]([O-])=O)c(=O)n1CC#N,1.0
96,c1cc2c(cc1Br)C(=O)C(=O)N2,1.0
97,CC(C(CN)F)OCCOCCOCCOCCOCCN=C(O)OC(C)(C)C,0.0
98,CN(C)C1(c2ccccc2)CCC(NC(Cc2c[nH]c3ccccc23)C(=N)O)CC1,0.0
99,COc1cccc(C2(Nc3ncc(-c4nnc(C(F)(F)F)o4)cn3)CCC2)c1,0.0
100,CCOC(C)OC(CCCCCCC(=O)OCC)(C#N)c1ccco1,1.0
101,Cc1ccc(S(NCCO)(=O)=O)cc1-c1cc(-c2cc(C)no2)c(N)nc1,0.0
102,CCCc1c(CC(=O)OC)nc(-c2ccc(C(F)(F)F)cc2)s1,0.0
103,c1ccc(Cl)c(CNCc2c(C(=O)O)nc(O)nc2O)c1,1.0
104,CCCCNc1c(C(NC(C)(C)C#C)=O)ccs1,1.0
105,COC(c1c(N)cc(F)c2c1OCC1CC12)=O,0.0
106,C1=C(c2ccc3c(c2)c(=O)c2cc(C(=O)O)c(N)nc2o3)CCC(C(F)(F)F)C1,0.0
107,c1cc2c(c(OC3CCOCC3)c1)nc(Cl)nc2Cl,0.0
108,CCOC(c1cc(OC)c(OCC2CCN(C)CC2)cc1[N+]([O-])=O)=O,0.0
109,CCc1nc(C(O)=O)c(C#N)n1-c1cnc(CCC(F)(F)F)cc1OC,0.0
110,CC(C)(C)OC(COc1cccn2c(CC(C)(C)[N+]([O-])=O)cnc12)=O,1.0
111,c1ccc(COC(=NCC(Nc2ccc(Oc3ccc4c(c3)c(C#N)c(N)[nH]4)cc2)=O)O)cc1,1.0
112,Cc1cc(Br)c(C=O)cc1F,0.0
113,C1CCC(n2c(-c3cnco3)cc3c[nH]c(=Nc4ccc(N5CCNCC5)cn4)nc32)C1,1.0
114,CC(C)(C)c1cc(Cl)ccc1N1CCN(C(CC(=O)O)=O)CC1,1.0
115,CC(C)(C)C#Cc1ccc2c(c1)[C@@]1(COCC(=N)N1)c1cc(-c3ccnc(F)c3)cnc1O2,1.0
116,Cc1cccc(C)c1-n1c(-c2ccccc2)nnc1C(C)(C)C,1.0
117,CCOC(C1(C)CC(c2ccc(C)cc2)=C(C#N)C(O)=N1)=O,0.0
118,CC(C)N1CCC(c2cc(F)cc(F)c2)(OC)C1,1.0
119,CNCCN(C)Cc1c[nH]nc1C1CCC(O)C2(CCCC2)C1,0.0
120,c1cc(Cn2c3c(c(Cl)[nH]c(=N)n3)nn2)nc(N2CCCC2=O)c1,0.0
121,CCCS(C(=C)CN1CCC(O)CC1)(=O)=O,1.0
122,CC(C)(C)[Si](c1ccccc1)(c1ccccc1)Oc1cc([N+]([O-])=O)cc2c1[nH]c(=N)s2,1.0
123,CC(CCC1CCCCC1)c1ccc(N)cc1,0.0
124,COc1cc2c(c(N3CCN(CC(F)(F)F)CC3)c1)OC(C(=O)O)CC2,0.0
125,c1ccc(N(Cc2c(F)cc(-c3nnc(C(F)(F)F)o3)cc2F)C(N2CCOCC2)=O)cc1,0.0
126,CC(C)CC1c2ccc(C)cc2C(c2ccccc2Cl)CN(CC(=O)O)C1=O,0.0
127,CC(C)c1cccc(C(C(F)(F)F)(F)F)c1O,1.0
128,c1cc(OCC2CNC2)ccc1C1(C#N)CCOCC1,0.0
129,c1ccc(F)c(-c2nc(C=O)cn2S(c2cccs2)(=O)=O)c1,1.0
130,Cc1c2c(n[nH]c1=NN)CCCCCC2,1.0
131,CC1(C)OC(COCc2ccccc2)C(c2ccccc2Cl)O1,1.0
132,c1cc(-c2c3c(N)c(C(N)=O)sc3ncn2)cc(N=C(Nc2cccc(C(F)(F)F)c2)O)c1,1.0
133,C1CCC2(CC1)CNCC(=O)N2c1ccc2c(c1)cn[nH]2,1.0
134,Cc1nc(-c2ccc(-n3cc4c(n3)CCNCC4)cc2)on1,0.0
135,Cc1cc2c3c(n(CCc4ccc(C(F)(F)F)nc4)c2cn1)CCN(C)C3,0.0
136,Cc1ccncc1N1CCN(c2ccc(C(NC)=O)cc2)C1=O,0.0
137,c1ccc(S(C2CC3(C2)COC3)(=O)=O)cc1,1.0
138,Cc1cc(C(NCc2ccc(C#N)cc2OCC(=NC)O)=O)ccc1F,1.0
139,CCN1CC(=O)N(c2c(C)cccc2Cl)C1=S,1.0
140,Cc1ccccc1C(N1CCc2cc(N3CCC(N)C3)ccc21)=O,0.0
141,Cc1cc2ncc(C(=O)O)n2nc1-c1ccccc1C(F)(F)F,0.0
142,Cn1c(-c2cccc(C=O)c2)nc(-c2ccc(OC(F)F)cc2)n1,1.0
143,COC(c1cc(C2CC2)cnc1N(c1ccc2c(cc[nH]2)c1)C(C(F)(F)F)=O)=O,1.0
144,Cn1cc(CC2=Cc3ccc(C(F)(F)F)nc3N(C3=CCC(=O)C=C3)C2C(=O)OC)cn1,1.0
145,CC1(C)CC(C(=NC2CC(C)(C)[N+](=O)C(C)(C)C2)O)CC(C)(C)N1[O-],1.0
146,c1ccc(N)c(C2CCNc3c(C#N)c(-c4ccc(OC5CCOCC5)cc4)nn32)c1,1.0
147,C1C[C@@H](N)C2(C1)CCN(c1cnc(Sc3ccnc(Cl)c3Cl)c(N)n1)CC2,0.0
148,c1cc(CNC(c2cc(Br)c(C(O)=O)s2)=O)cc(O)c1,0.0
149,CC(C)(CN1CCC(c2cnn3c4c(C(=N)O)cc(F)cc4n(Cc4ccccc4)c23)CC1)O,1.0
150,c1c(CC(=O)O)c(Cl)c(Cl)cc1[N+]([O-])=O,0.0
151,c1cc2c(cc1CO)CC[C@H](n1cnc3cc(Br)sc3c1=O)C2,1.0
152,CC1=NN(C)C(=O)C(c2c(Cl)ccc(Cl)c2O)C1=O,0.0
153,CCCCN=c1c(N=C(Cc2cc(OC)ccc2OC)O)c(Cl)nc[nH]1,1.0
154,COC(c1cc(-c2ccccc2)[nH]c1)=S,1.0
155,CNc1cccc(COCc2ccc(C[C@@H](C(=O)OC)N)cc2)n1,0.0
156,CS(N[C@H]1Cc2ccc(Cn3cc(CO)c(C(F)(F)F)n3)cc2C1)(=O)=O,0.0
157,CCCC[C@](C)(CN=C(C)O)Nc1c2c([nH]c(=NCc3ccc(OC)cc3OC)n1)CCCC2,1.0
158,CN1CCN(c2ccc(F)c(C(N3CCC(F)(F)[C@@H](Oc4ccc5ccccc5n4)C3)=O)c2)C1=O,1.0
159,CCS(N1CCC(Cn2c(C)c(N=C(c3cc(C(N)=O)nc4ccccc34)O)c(C)n2)CC1)(=O)=O,0.0
160,Cc1ccc(CN=c2c3cn(Cc4ccc(Cn5cccn5)cc4)[nH]c-3ncn2)c(OC)c1,0.0
161,c1cc(Cl)c(N2COc3c(cnc(Nc4ccc5c(c4)CCCN5)n3)C2=O)c(Cl)c1,0.0
162,C(=C/C(=O)ON=[N+]=[N-])\c1csc2ccsc12,0.0
163,CCOC([C@@H]1CC[C@H](Nc2ccc(C(N)=NO)cc2)C1)=O,1.0
164,CCn1c(-c2cn(COC(C(C)(C)C)=O)c3c2cc(Br)cn3)ccn1,0.0
165,c1cc(Cl)ccc1C1CCC2(CC1)CCN([C@H]1CC[C@H](O)CC1)C2=O,1.0
166,Cc1c2cccnc2c(O)c2c1C(=O)N(Cc1ccc3c(c1)OCO3)C2=O,0.0
167,c1ccc(C2CCC(C(C(c3ccccn3)=O)OC(c3ccccc3)=O)CN2)cc1,1.0
168,COC(c1cc(C2CCNCC2)c2c(C3CCC3)nn(-c3ccc(F)cc3)c2n1)=O,0.0
169,c1cc(F)c2c(c1)S(=O)(=O)c1ccc(C(=O)O)cc1N=C2O,0.0
170,CC(C)(C=O)Nc1nc(-c2ccc(C#N)cc2)c(Cl)s1,1.0
171,C1CCN(C2CCN(C(Cc3csc(-c4cc(Cl)ccc4C(=N)O)n3)=O)CC2)CC1,1.0
172,CCN(CCCl)C(C(=Cc1cc([N+]([O-])=O)c(OC)c(OC)c1)C#N)=O,0.0
173,Cc1cc(C(NC(C)c2cc(Cl)c(OCC(F)(F)F)nc2)=O)nc(N=C(C2CCC2)O)n1,1.0
174,CC1=NC2(c3cc(Br)ccc3CC23CCC(OC)CC3)N=C1N,1.0
175,Cc1ccc(S(n2cc(Br)c3c(F)cccc32)(=O)=O)cc1,1.0
176,C1CCNC(Cc2nc3c(C(=O)O)ccnc3[nH]2)C1,1.0
177,c1c(F)c(NN)cc2c1S(=O)CN2,0.0
178,CNC(c1c(O)c(=O)cc(CNS(c2ccccc2Cl)(=O)=O)n1C)=O,0.0
179,CC(c1ccccc1N=C(c1cc(=NCCN(C)C)[nH]c(-c2ccccc2)n1)O)=O,1.0
180,c1cc(F)c(C(=NCC(=O)O)O)c(N)c1,1.0
181,CC1(C)Oc2cc(Oc3ccc(C=O)cc3F)ccc2C(=O)O1,1.0
182,CCOC(c1c2c(cc(CCCF)cn2)oc1N=C(O)OC(C)(C)C)=O,0.0
183,C1CC(=O)C=C(OC(c2cc(Cl)c3c(c2Cl)C2(CCS3(=O)=O)OCCO2)=O)C1,1.0
184,CCOC(CN(CCc1ccc(C(C)C)cc1)S(c1cc(C#N)ccc1O)(=O)=O)=O,1.0
185,CNS(c1ccc(N2CCCC(O)C2)c(C(=O)O)c1)(=O)=O,0.0
186,Cc1c(F)c(F)c(CS(Cl)(=O)=O)c(F)c1F,1.0
187,CN(C1CCN(c2ccnc(C(O)=O)c2)CC1)c1ccc(F)cc1C(=Nc1ccc(Cl)cn1)O,1.0
188,c1c(N=[N+]=[N-])c(OC(F)F)c(Cl)nc1Br,1.0
189,CC(c1ccc2c(c1)sc(O)n2)c1nc(-c2ccc(CCO)cn2)cs1,0.0
190,c1cc(C(CC(=O)O)N)cc([N+]([O-])=O)c1,1.0
191,CC(CON=C1CCN(c2ncc(-c3cccc(CO)c3F)cn2)CC1)OC1CCCCO1,0.0
192,c1cc2c(cc1F)CCC1(CCNCC1)O2,0.0
193,C1CCN(CCCNC(c2ccc(CCl)cc2)=O)CC1,1.0
194,C=CCN1CCc2c3cc(F)ccc3n(-c3ccc(F)cc3)c2CC1,1.0
195,CC(C)CC(CC(=O)O)C(=N[C@@H](Cc1ccc(OC)cc1)C(=NC)O)O,0.0
196,c1c(C(Cl)=O)ncc(OC(F)F)n1,1.0
197,CC(CC(C)(C)N=C(CCOC)O)N(C)C,1.0
198,CCOC1CC(c2ccccn2)OC2(CCN(C(c3cccc(F)c3OC)=O)CC2)C1,1.0
199,Cc1cc(-c2nccc(C(N)=O)n2)cc(Br)c1,1.0
200,CC(C)C[C@@H](C(=O)OC)N1CC(Oc2cc(C)ccc2F)=CC1=O,1.0
201,Cc1cc(N2CC[C@@H](N=C(O)OC(C)(C)C)C2)c(N)c(=NC)[nH]1,0.0
202,CC1C=Cc2c(nc3c(n2)=CC(C)c2ccccc2-3)=C1,1.0
203,CN1C[C@H](O)C[C@H]1CCOc1cc(Cl)ccc1CCc1ccccc1,0.0
204,CSC1=CN(Cl)C(=O)C2=C(NCNC2Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)O1,1.0
205,c1cc(C(F)(F)F)ncc1-c1cc(Cl)nc(Cl)c1,0.0
206,CCOC(c1c[nH]c2c(Br)ccc(C)c2c1=O)=O,1.0
207,CN1CS(=O)c2cc(CCCCBr)ccc21,0.0
208,CC(C)N1CCC[C@H]1CN=C(c1cn(C2CCCC2)c(=O)c2c(C)c3ccccc3n12)O,1.0
209,CS(=O)(=O)OCC1CC(O)=NC12CC2,0.0
210,CC1(C)CCC(n2c(CO)c3cccc(OC)c3n2)C1N,0.0
211,CC1CC(c2ccc(F)c([N+]([O-])=O)c2N)=CC(=O)C1,0.0
212,c1cc(-c2ccnc(Cl)c2)cc2c1CC[C@]21C(F)(F)COC(=N)N1,1.0
213,CNc1c(F)cc2c(c1Cl)n(-c1cc(N)c(F)cc1F)cc(C(=O)O)c2=O,0.0
214,c1ccc2c(c1)cccc2S(c1c2cc(OC3CCNCC3)ccc2[nH]n1)(=O)=O,0.0
215,C1CN(c2cc(Cl)ncn2)CCC1(F)F,1.0
216,c1cc(NC[C@@H]2C[C@H]3C[C@H]3CN2)ncc1C(F)(F)F,0.0
