,Unnamed: 0,smiles,targets
318,318,COCCCOc1cc2c(cc1Cl)-c1cc(=O)c(C(=O)O)cn1C(C1CCOCC1)C2,0.0
320,320,CCN1CCN(C(C)(C)C#Cc2c(F)cnc3c2c2cc(-c4cccnc4)ncc2[nH]3)CC1,0.0
322,322,c1ccc(COC(=NC2CCC(=O)C(C#N)C2)O)cc1,0.0
323,323,Cn1c2ccc(CNC(c3ccc(C(F)(F)F)cn3)=O)cc2cc1C(F)(F)F,0.0
325,325,Cc1ccc(-c2cc(C(CO)O)cc(C(=O)O)c2)c(C#N)c1,0.0
328,328,COc1ccc(-c2nc(OCF)nn2-c2ccc(OC)cc2)cc1,0.0
329,329,CC(C)(C)OC(=NCCCn1c2c3ccc(Br)cc3ncc2nc1S(C)(=O)=O)O,0.0
330,330,CCCSc1nc(N[C@@H]2C[C@H]2c2ccccc2)c2c(n1)n([C@H]1C=C[C@@H](OC(C)=O)C13CC3)nn2,0.0
331,331,Cn1c2cc(-c3ccc(OCCOS(C)(=O)=O)c(C(F)(F)F)c3)nc(C#N)c2nn1,0.0
332,332,CC(C)(C)c1nc(C(NCc2ccc(-c3ccnc4c3nc(C3=CCNCC3)[nH]4)cc2F)=O)no1,0.0
333,333,C1CCC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,0.0
334,334,c1ccc(C(C(=O)O)N2CCC(C(=N)O)CC2)cc1,0.0
338,338,c1coc2c1c(O)c(C=O)cc2Br,0.0
339,339,CC(C)n1c2c(c(C)n1)C(c1ccc(Cl)cc1F)N(c1cc(C)c(=O)n(C)c1)C2=O,0.0
341,341,CN([C@@H](Cc1ccc(N)cc1)C(=O)OC)C(C1(CCOC)CCCC1)=O,0.0
342,342,c1c2c(cc(Cl)c1C(F)(F)F)nncc2O,0.0
343,343,COC(C1CCN(C(c2cc(C(=O)OC)ccc2OCCCc2ccc(O)cc2)=O)CC1)=O,0.0
345,345,Cc1cc(OS(C(F)(F)F)(=O)=O)cc(OC)c1CN1CCCCC1,0.0
346,346,c1ccc(C(C(=NO)O)N2CCCCC2)cc1,0.0
348,348,CCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,0.0
351,351,c1ccc(C23CCC(CC(=O)O)(CC2)CC3)cc1,0.0
352,352,COc1c([N+]([O-])=O)ccc(C(=O)O)c1F,0.0
353,353,c1ccc(S(c2c(=N)n3ccccc3nc2NCCO)(=O)=O)cc1,0.0
354,354,C1CCn2c3ccc(CO)cc3nc2C1,0.0
355,355,c1cc2c(c3c1C(=O)OC3)[nH]c1cc(Br)cnc21,0.0
356,356,CCc1cc(CNc2cc(OC[C@H]3C[C@@H]3c3ccc(OC)cn3)nn(C)c2=O)n(C)n1,0.0
359,359,Cc1c[nH]nc1-c1c(COc2cnc(O)cc2C=O)cccn1,0.0
360,360,CCC(C)(C)Cc1cnc(CCc2nc(-c3ccc(F)c(F)c3)nn2C)[nH]1,0.0
362,362,CC(C)(C)OC(N1C2CCCC1CC(CC(=O)O)C2)=O,0.0
363,363,CCOC(c1cnn2c(-c3cc(N)ccc3OC)ccnc12)=O,0.0
365,365,Cc1ccc(Nc2c3c(ccn2)CN(S(C)(=O)=O)CC3)cc1-c1cc2ccccc2cn1,0.0
366,366,C1CCn2c(nc(-c3cc(Cl)ccc3Cl)c2C(=O)O)C1,0.0
370,370,CCOC(Cc1ccc(OC)c(C(=NCc2ccc(C(F)(F)F)cc2)O)c1)C(=O)OCC,0.0
371,371,Cc1c2n(nn1)CCN(c1ccc(Cl)cc1)c1cc(C(=O)O)ccc1-2,0.0
373,373,CC(C)(C)OC(N1CC[C@@H](c2ccccc2)[C@H](COS(C)(=O)=O)C1)=O,0.0
374,374,CCN=c1c(C#N)c[nH]c(Nc2ccc(S(NCC(CN3CCCCC3)O)(=O)=O)cc2)n1,0.0
376,376,c1ccc2c(c1)CCc1cc(N)cnc1C2=O,0.0
382,382,C(=C/C(N1CC(OCc2cc(Cl)cs2)C1)=O)\c1cc2c(nc1)N=C(O)CC2,0.0
384,384,C[C@H]1CC[C@H](Cn2cnc3c2cnc(C#N)n3)CC1,0.0
385,385,Cn1cc(-c2cccc(-c3ncc(-c4cnn(CC(N5CCCCC5)=O)c4)cn3)c2)cn1,0.0
387,387,CCc1cc(C(NCc2cccc(O)c2)=O)sc1C(O)=O,0.0
389,389,CNC(c1cc(-c2cc3nc(CCc4cc(OC)cc(OC)c4)c[nH]c-3n2)ccn1)=O,0.0
390,390,CCCCOC(c1c(O)c2ccc(OC3CCCCC3)cc2cn1)=O,0.0
393,393,CN1CCCc2c(c3ccc(N4CCN(CCc5ccc(Cl)cn5)CC4=O)cc3o2)C1,0.0
394,394,CC(C)C1(CCCO)CCN([C@@H](C)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)C(=O)O1,0.0
395,395,CN(C)C(c1ccc(-c2cc3c(c(-c4ccc(OC5CCN(C)C5)c(C#N)c4)ccn3)o2)c(OC)c1)=O,0.0
396,396,CC(C)(C)OC(N1CCN(C(c2cc(-c3c[nH]nc3)sc2)=O)C2CCCCC21)=O,0.0
398,398,c1cc(N)c(Cl)cc1S(C(F)(F)F)(=O)=O,0.0
401,401,c1ccc(F)c(-c2ccc3c(c(-c4cc(N5CCC(N)CC5)cnc4)c[nH]3)n2)c1,0.0
403,403,COCCNC(c1ccc(Oc2ccc(Cl)cc2N)cc1)=O,0.0
405,405,Cc1cc(=N)[nH]c(C)c1CN=C(c1cn(Cc2ccc3c(c2)cc(Cl)cn3)nc1CN)O,0.0
