fragment_id,feasible_compounds,infeasible_compounds
682100244,0,1
2202011159,4,0
161482266,0,1
2222982682,0,1
3899131423,1,2
4054844960,1,0
2542274082,5,0
2409104931,0,1
2372929061,4,0
4243588646,0,1
1124599337,0,4
1331168813,31,11
1033373232,1,1
1630012978,0,1
2623014452,82,86
937428535,58,28
1275594299,0,2
2066220607,0,2
422053443,1,0
217581126,2,0
2432173644,20,13
1650460237,3,1
3701474893,4,0
3792176717,1,0
3696756300,0,1
1026033237,2,2
2956985942,4,4
3595568732,4,2
162006625,3,6
1123550818,0,1
3431466595,0,2
4136633959,1,1
155190887,2,5
3137865322,0,1
957875820,0,2
3948938862,1,0
1027081840,1,2
959972977,0,2
4262987380,1,3
2682259061,1,0
1708656249,0,1
4120381058,1,0
1310197382,1,0
3069707914,1,0
1299711634,3,7
3212314258,1,0
3836741269,1,1
255329942,0,2
876611225,0,2
3515877020,1,5
2628257436,3,5
1043334821,17,91
1678247589,1,0
2098726569,12,3
1723860657,0,3
3560965809,0,1
3643279028,1,0
4189587124,1,1
370673334,37,62
2516059831,6,6
241698488,1,5
1805649591,1,0
2853701304,0,3
1302857402,0,2
2645034679,0,1
314574525,0,1
2597324484,0,1
1835534025,0,1
1563952842,0,1
603457243,3,2
1793066716,4,0
1394083550,0,2
3202352863,1,1
3302491874,0,1
425199333,0,1
780142311,1,0
878708459,1,0
1557661422,2,1
612370164,1,0
3034580725,22,9
883951350,0,1
413665017,11,2
3404203770,1,0
2139621115,1,0
3862431482,0,1
3992454920,0,1
2735736588,1,1
2253391629,20,20
868222734,0,1
918030097,0,2
4170712857,2,7
527435547,1,0
601884443,0,1
3597666078,1,0
1997014826,16,6
1421346610,2,0
4279240501,0,2
2048919351,0,4
3368027960,7,5
1312819000,5,5
2787116855,0,1
2712667964,0,5
3816818495,0,1
2912945994,1,0
2708997963,4,3
3024619347,0,2
4116186964,0,2
3862955864,1,0
64489310,1,0
1462241120,37,150
3221227362,3,2
743966564,2,0
3460826981,0,1
2369259371,37,13
1249380204,6,0
4078438255,3,1
1614808944,5,3
4220520306,1,3
3577743223,1,0
2391803768,1,0
2034239356,1,0
3771729790,0,1
1697122177,1,0
333973379,0,1
70256518,0,4
4200073100,1,0
2775058321,2,0
3546810259,0,1
1792542617,0,1
3154642844,0,1
1669859236,9,10
40372133,8,30
3669493670,1,0
1918371749,1,0
2151155628,0,5
1236797357,0,1
1151862700,0,1
352847791,0,1
1513621425,0,1
1730152370,0,1
392169395,1,1
2372929459,4,3
1118832566,2,2
2138048443,1,2
262145983,0,1
